idPartido;fase;fecha;horaUTC;estadio;seleccion1;seleccion2;estado
1;FASE_DE_GRUPOS;2026-06-11;19:00;Mexico City Stadium (Estadio Azteca);México;Sudáfrica;ABIERTO
2;FASE_DE_GRUPOS;2026-06-11;23:00;Guadalajara Stadium (Estadio Akron);Corea del Sur;Chequia;ABIERTO
3;FASE_DE_GRUPOS;2026-06-12;19:00;Toronto Stadium (BMO Field);Canadá;Bosnia y Herzegovina;ABIERTO
4;FASE_DE_GRUPOS;2026-06-12;23:00;Los Angeles Stadium (SoFi Stadium);Estados Unidos;Paraguay;ABIERTO
5;FASE_DE_GRUPOS;2026-06-13;15:00;San Francisco Bay Area Stadium (Levi's Stadium);Catar;Suiza;ABIERTO
6;FASE_DE_GRUPOS;2026-06-13;18:00;New York New Jersey Stadium (MetLife Stadium);Brasil;Marruecos;ABIERTO
7;FASE_DE_GRUPOS;2026-06-13;21:00;Boston Stadium (Gillette Stadium);Haití;Escocia;ABIERTO
8;FASE_DE_GRUPOS;2026-06-13;23:59;Vancouver Stadium (BC Place);Australia;Turquía;ABIERTO
9;FASE_DE_GRUPOS;2026-06-14;15:00;Philadelphia Stadium (Lincoln Financial Field);Alemania;Curazao;ABIERTO
10;FASE_DE_GRUPOS;2026-06-14;18:00;Houston Stadium (NRG Stadium);Países Bajos;Japón;ABIERTO
11;FASE_DE_GRUPOS;2026-06-14;21:00;Dallas Stadium (AT&T Stadium);Costa de Marfil;Ecuador;ABIERTO
12;FASE_DE_GRUPOS;2026-06-14;23:59;Monterrey Stadium (Estadio BBVA);Suecia;Túnez;ABIERTO
13;FASE_DE_GRUPOS;2026-06-15;15:00;Atlanta Stadium (Mercedes-Benz Stadium);España;Cabo Verde;ABIERTO
14;FASE_DE_GRUPOS;2026-06-15;18:00;Seattle Stadium (Lumen Field);Bélgica;Egipto;ABIERTO
15;FASE_DE_GRUPOS;2026-06-15;21:00;Miami Stadium (Hard Rock Stadium);Arabia Saudita;Uruguay;ABIERTO
16;FASE_DE_GRUPOS;2026-06-15;23:59;Los Angeles Stadium (SoFi Stadium);Irán;Nueva Zelanda;ABIERTO
17;FASE_DE_GRUPOS;2026-06-16;15:00;New York New Jersey Stadium (MetLife Stadium);Francia;Senegal;ABIERTO
18;FASE_DE_GRUPOS;2026-06-16;18:00;Boston Stadium (Gillette Stadium);Irak;Noruega;ABIERTO
19;FASE_DE_GRUPOS;2026-06-16;21:00;Kansas City Stadium (Arrowhead Stadium);Argentina;Argelia;ABIERTO
20;FASE_DE_GRUPOS;2026-06-16;23:59;San Francisco Bay Area Stadium (Levi's Stadium);Austria;Jordania;ABIERTO
21;FASE_DE_GRUPOS;2026-06-17;15:00;Houston Stadium (NRG Stadium);Portugal;República Democrática del Congo;ABIERTO
22;FASE_DE_GRUPOS;2026-06-17;18:00;Dallas Stadium (AT&T Stadium);Inglaterra;Croacia;ABIERTO
23;FASE_DE_GRUPOS;2026-06-17;21:00;Toronto Stadium (BMO Field);Ghana;Panamá;ABIERTO
